objective,max_v,optim_protection,v_at_10_percent,v_at_30_percent
food,2154.587775639444,0.09231335049650607,0.9999752438691912,0.9968271351782467
carbon,12251.816457136023,0.03186331873349159,1,1
biodiversity,1,0.9599451670065867,0.5809138369324099,0.8984160714912134
