objective,max_v,optim_protection,v_at_10_percent,v_at_30_percent
food,100248.60713649381,0.21962616822429906,0.9476940212735444,0.9999385597851517
carbon,16621871.939072365,0.5093457943925234,0.6816265635465447,0.9887531653017584
biodiversity,1,1,0.4240114121444574,0.8944306794976281
